OTUId	10_Tt_Microcerotermes_parvus	11_Tt_Microcerotermes_sp	12_Tt_Neocapritermes	13_Tt_Ophiotermes_sp	14_Tt_Proboscitermes	15_Nt_Atlantitermes_sp	16_Nt_Nasutitermes_corniger	17_Nt_Nasutitermes_takasagoensis	18_Nt_Nasutitermitinae_Unclassified	19_Nt_Trinervitermes_sp	1_Mt_Macrotermes_sp	2_Mt_Macrotermes_subhyalinus	3_Mt_Odontotermes_sp	4_St_Cornitermes_sp	5_At_Apicotermes_trestus	6_Tt_Termes_hospes	7_Tt_Cubitermes_sp	8_Tt_Cubitermes_ugandensis	9_Tt_Amitermes_meridionalis
OTU_11080	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3612	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8015	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7880	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1279	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6053	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3807	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_405	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4185	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15877	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6972	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24282	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31775	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8446	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_22695	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4403	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30519	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1469	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_23136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_669	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1554	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8689	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29255	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17839	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1303	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2943	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24283	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8447	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5998	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12462	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_75	1	0	0	0	0	0	0	0	0	0	0	0	0	126	0	1	0	0	0
OTU_2389	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_602	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31774	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4032	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35767	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28801	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3106	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1949	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1946	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8703	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2890	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_116	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15876	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34488	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14885	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30233	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29265	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7182	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19464	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29243	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8500	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_715	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22953	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1541	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27509	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1111	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_98	2	0	8	0	0	110	0	0	0	0	0	0	0	7	0	0	0	0	0
OTU_21959	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_647	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3216	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15611	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20038	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6157	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23594	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2950	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3722	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31177	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7550	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3676	7	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_7116	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27255	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2955	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU_4779	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31792	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5896	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_554	1	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
OTU_1375	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15872	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_941	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17413	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28305	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24284	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_721	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24678	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2787	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_9314	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12722	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12015	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17410	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7222	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18041	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3338	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_22683	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33426	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2690	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35757	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_282	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24287	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_76	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_605	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13679	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13807	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8391	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9953	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5014	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32438	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_10666	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19221	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29281	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12452	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_30514	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19220	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8121	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8217	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21290	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3990	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29252	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_214	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2492	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_233	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10190	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10533	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
