TestedHost	AdaptedHost	Comparison	set	passage	bioRep	Rep1.1	Rep1.2	Rep1.3	Rep1.4	mean1	sd1
C6/36	C6/36	Adapted	A	9	2	11880	12800	12550	10820	12012.5	884.811656
C6/36	C6/36	Adapted	B	1	2	9301	9332	8492	8121	8811.5	602.6057307
C6/36	C6/36	Adapted	B	2	2	11930	12010	11850	10420	11552.5	757.8203393
C6/36	C6/36	Adapted	B	3	2	15700	15160	15020	12040	14480	1652.876281
C6/36	C6/36	Adapted	B	4	2	14730	14180	12690	11220	13205	1579.208663
C6/36	C6/36	Adapted	B	5	2	23280	22600	22570	21660	22527.5	664.7994685
C6/36	C6/36	Adapted	B	6	2	21490	18560	18900	18610	19390	1408.000947
C6/36	C6/36	Adapted	B	7	2	21700	20750	21830	17460	20435	2040.922994
C6/36	C6/36	Adapted	B	8	2	19060	18580	18530	17340	18377.5	731.7729611
C6/36	C6/36	Adapted	B	9	2	18680	17690	17090	17720	17795	657.4952471
Huh7	Huh7	Adapted	B	1	3	600.9	545.5	727.6	640.1	628.525	76.60750072
Huh7	Huh7	Adapted	B	2	3	2270	2449	2029	2178	2231.5	175.7431838
Huh7	Huh7	Adapted	B	3	3	2300	2385	2214	1949	2212	188.7202515
Huh7	Huh7	Adapted	B	4	3	2665	2792	2523	2292	2568	214.3097447
Huh7	Huh7	Adapted	B	5	3	3923	3627	3574	2890	3503.5	436.8771757
Huh7	Huh7	Adapted	B	6	3	4407	4619	4333	4129	4372	202.3231738
Huh7	Huh7	Adapted	B	7	3	7261	6939	6389	5936	6631.25	586.8994093
Huh7	Huh7	Adapted	B	8	3	5004	4891	4828	4136	4714.75	392.6434982
Huh7	Huh7	Adapted	B	9	3	4610	5694	4840	4545	4922.25	529.8366887
