CellLine	P1	P2	P3	P4	P5	P6	P7	P8	P9	Population	Rep
C6/36	63000	370000	650000	600000	2330000	730000	1900000	1800000	2800000	Huh B	4
HepG2	89000	521000	1050000	1310000	4420000	1930000	6150000	6500000	7000000	Huh B	4
Vero	134000	980000	1500000	2710000	9870000	4190000	10600000	8200000	12200000	Huh B	4
Hu751	40000	640000	1900000	1200000	5900000	2000000	5000000	6000000	4000000	Huh B	4
Huh7	65000000	87100000	70600000	62200000	104200000	65900000	108500000	146100000	70000000	C6/36 A	4
C6/36	58000000	80000000	74000000	99000000	183000000	253000000	428000000	457000000	280000000	C6/36 A	4
HepG2	35500000	40900000	28900000	20100000	39200000	24000000	15900000	30400000	22200000	C6/36 A	4
Vero	10300000	14500000	12200000	29100000	58800000	31500000	64500000	107700000	62200000	C6/36 A	4
Hu751	47000000	71000000	72000000	88000000	83000000	75000000	101000000	112000000	77000000	C6/36 A	4
Huh7	29800000	39600000	59000000	47100000	44900000	39400000	51700000	42000000	55700000	C6/36 B	4
C6/36	39000000	48000000	80000000	101000000	140000000	221000000	230000000	279000000	322000000	C6/36 B	4
HepG2	49400000	37000000	37800000	58100000	54800000	44300000	34800000	33800000	44600000	C6/36 B	4
Vero	6800000	4600000	5900000	7100000	11800000	12100000	15400000	13600000	12500000	C6/36 B	4
Hu751	20000000	40000000	57000000	53000000	42000000	32000000	47000000	34000000	66000000	C6/36 B	4
