	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
cebpz	917	1689	717	1016	213	295	1827	1827	2774	901	2011	917
cecr2	94	153	84	72	28	58	125	125	89	19	65	39
cegt	268	413	253	201	331	703	2561	2561	406	99	338	157
celf1	91	82	36	53	10	31	271	271	91	15	87	42
celf2	261	190	73	153	37	81	176	176	1245	366	749	476
cenpb	791	870	607	430	267	442	1077	1077	834	313	752	306
cenpc	691	1146	330	513	58	123	1389	1389	889	301	383	175
cenpe	202	256	112	146	90	241	2618	2618	978	269	199	151
cenpf	308	297	110	247	216	638	7067	7067	449	111	83	63
cenpi	108	136	24	83	32	81	1315	1315	398	153	132	89
cenpj	114	229	70	105	79	78	394	394	447	165	157	145
cenpl	286	416	317	190	93	150	1643	1643	143	62	34	21
cenpo	23	15	17	17	40	49	205	205	271	104	98	79
cenpq	818	1507	941	569	299	357	1099	1099	701	236	495	220
cenpr	957	1810	718	881	4	13	130	130	35	19	19	11
cenpt	59	31	45	22	116	126	539	539	131	39	28	22
cep19	147	239	218	169	20	33	120	120	69	26	31	17
cep41	100	160	144	77	15	15	82	82	118	40	116	48
cep44	916	1956	1643	817	122	243	2190	2190	121	44	81	35
cep55	291	298	180	159	55	104	741	741	595	193	120	99
cep57	524	712	503	416	145	285	1771	1771	1588	557	911	384
cep63	504	705	819	348	240	231	699	699	1486	523	797	411
cep68	94	74	39	54	523	1129	5511	5511	521	147	350	154
cep70	189	268	133	137	19	49	333	333	611	165	328	167
cep76	72	78	31	59	13	28	325	325	73	17	44	32
cep78	290	476	379	158	77	119	994	994	394	137	186	71
cep83	241	292	139	153	52	99	595	595	308	59	193	72
cep85	191	244	108	170	120	143	571	571	141	44	62	34
cep95	450	733	602	283	143	160	602	602	349	98	202	99
cep97	36	65	35	50	7	30	236	236	141	40	70	33
cept1	1211	2115	413	1086	210	356	1420	1420	3162	1262	3193	1328
cerk1	684	932	814	504	427	437	740	740	667	227	459	159
cerkl	331	461	1019	235	157	241	642	642	14	3	36	13
cers2	88	93	98	56	13	23	125	125	2183	639	1362	649
cers5	596	655	621	432	218	303	707	707	1488	627	1000	571
ceru	305	318	609	211	29	154	452	452	956	238	1073	566
cetp	12	20	15	2	46	45	31	31	167	131	339	115
CF001	133	270	180	143	147	168	237	237	121	49	99	48
CF047	134	119	71	69	43	134	264	264	539	218	419	210
CF062	1647	1749	1104	984	719	1296	5168	5168	1748	525	887	449
cf070	234	388	361	148	95	98	223	223	20	6	26	24
cf089	159	135	82	73	123	233	698	698	419	151	289	132
cf120	124	163	114	66	56	128	407	407	176	58	141	43
cf211	429	597	350	269	108	144	444	444	251	86	145	93
cfab	339	181	419	219	66	141	209	209	1633	1582	1591	3915
cfah	209	172	255	243	66	185	721	721	345	131	647	287
cg025	230	373	331	213	55	88	300	300	241	81	217	94
CG031	94	143	103	65	9	26	153	153	29	16	17	18
CG043	148	194	112	90	100	139	200	200	89	26	42	15
cgat1	91	145	253	60	32	74	265	265	548	173	626	147
cgat2	135	128	56	120	17	54	373	373	119	37	94	49
cgbp1	1566	2461	1625	1299	798	1113	3969	3969	888	281	635	283
cgrf1	504	930	809	437	124	212	1179	1179	664	269	513	222
CH058	265	492	224	193	35	55	142	142	403	116	226	127
ch3l1	1474	232	247	586	115	530	1353	1353	861	330	731	422
ch60	6274	8485	5396	5718	696	1300	6977	6977	4829	1717	2965	1754
chac2	336	408	334	208	76	192	1840	1840	700	251	1512	105
chap1	390	709	137	364	67	109	528	528	529	168	295	180
chch3	569	709	628	478	141	341	1802	1802	938	380	687	341
chd1	1129	1615	1576	908	201	325	1562	1562	916	278	699	340
chd1l	214	172	155	136	126	182	457	457	134	48	95	53
chd2	395	389	287	217	285	407	1272	1272	403	83	245	144
chd3	2147	1831	1058	1161	339	438	844	844	1168	312	400	356
chd4	2028	1819	1062	1254	687	1254	4108	4108	2368	652	1290	822
chd6	461	440	290	287	75	144	403	403	351	88	265	162
chd7	426	615	467	286	84	178	368	368	315	81	163	129
chd8	442	443	305	297	313	357	1302	1302	968	221	527	344
chd9	972	1517	925	807	218	308	1758	1758	754	145	516	242
chdh	70	38	33	41	85	105	293	293	343	107	170	48
cherp	156	175	59	96	176	192	372	372	204	52	87	69
chfr	190	198	121	106	80	148	539	539	278	55	137	77
chic2	66	88	32	59	84	156	501	501	309	137	256	119
chit1	85	35	32	66	7	24	146	146	66	21	34	23
chk1	450	765	333	393	15	25	226	226	262	89	58	66
chk2	45	47	29	30	44	77	683	683	390	131	199	107
chka	203	314	250	184	665	543	538	538	647	170	328	188
chkb	183	270	218	118	122	72	154	154	655	216	427	201
chm2b	561	710	575	372	82	228	1083	1083	893	368	713	297
chmp7	468	558	276	306	186	233	523	523	630	196	395	158
chp1	1257	1165	1349	789	222	402	1342	1342	2691	861	1537	851
chpf2	241	206	291	95	136	211	400	400	225	82	199	65
chrd1	1308	1785	1114	1155	234	313	1368	1368	949	275	572	249
chss1	249	332	125	192	230	365	720	720	347	108	206	110
chss2	132	133	118	68	20	54	134	134	93	24	89	39
chst7	74	72	67	28	19	45	115	115	483	130	341	135
chsta	140	141	203	88	77	80	159	159	670	214	479	200
chstc	538	385	159	231	23	72	152	152	192	60	106	46
chstf	162	157	142	113	69	159	461	461	90	18	105	42
chtop	1748	2292	1974	1122	686	824	2437	2437	1292	382	800	308
CI040	136	220	126	59	35	254	2173	2173	57	16	40	18
ci041	905	1259	229	709	92	237	1847	1847	836	239	655	276
ci069	579	635	465	337	47	129	317	317	65	13	49	23
ci072	154	214	150	128	119	155	555	555	1481	425	1042	498
ci091	60	31	67	53	78	120	290	290	391	117	241	174
CI114	60	71	49	58	22	24	102	102	106	31	72	39
ci123	667	1010	392	504	120	214	751	751	44	18	43	19
CI142	66	68	54	30	17	16	19	19	102	45	63	39
ciao1	1073	1233	785	782	141	274	962	962	801	283	377	221
cic	351	321	226	240	194	234	805	805	662	148	302	196
ciks	161	99	54	91	94	141	273	273	143	40	90	39
cip2a	339	464	195	217	58	142	2568	2568	106	32	21	16
cip4	241	324	184	212	84	116	236	236	286	94	186	80
cir1a	250	249	233	142	82	155	669	669	441	173	320	200
cirbp	209	284	201	88	87	122	355	355	143	32	105	64
cisy	1659	1742	1826	1206	216	402	2558	2558	2881	1009	1455	895
ciz1	167	241	202	95	132	138	173	173	548	127	264	179
cj076	374	452	240	273	78	166	528	528	91	27	77	50
CJ088	250	447	147	217	167	133	383	383	211	86	178	70
CJ118	302	258	202	217	53	90	722	722	283	77	200	100
CK024	101	112	122	64	43	82	320	320	134	50	100	56
CK035	14	32	25	8	29	27	13	13	37	7	20	11
CK048	387	375	189	270	73	105	352	352	408	155	413	120
ck068	372	301	180	175	112	152	324	324	261	118	207	82
CK084	22	24	34	8	16	17	43	43	20	9	13	12
ck5p1	148	136	90	90	50	79	151	151	90	21	40	22
ck5p2	321	361	159	206	138	203	903	903	502	121	229	146
ck5p3	972	1477	1035	663	196	183	550	550	701	249	453	246
ckap2	224	310	171	170	138	409	5306	5306	755	208	132	85
ckap4	155	161	142	70	34	88	270	270	132	72	77	47
ckap5	923	895	444	638	219	494	4911	4911	1423	342	796	437
cklf3	321	248	305	204	63	106	196	196	837	290	667	303
cklf6	130	136	70	122	214	436	1199	1199	82	24	86	56
ckp2l	319	572	214	268	189	350	2146	2146	643	226	199	115
CL004	225	182	184	85	159	141	318	318	123	27	79	40
cl023	848	1388	613	723	137	200	708	708	470	171	245	87
CL029	93	174	71	80	9	17	266	266	837	274	499	163
cl049	56	47	30	29	13	39	103	103	137	37	133	47
cl066	45	48	57	24	11	17	97	97	49	13	73	24
cl16a	159	169	99	97	207	220	448	448	327	79	195	121
cl17a	826	1447	358	293	504	437	296	296	73	22	34	21
clap1	333	350	146	253	134	197	751	751	574	162	360	173
clap2	772	1135	620	682	167	216	987	987	1142	366	472	325
clasr	215	325	358	147	132	139	174	174	128	29	50	41
clc11	24	25	15	13	10	11	27	27	168	66	172	39
clcc1	113	119	227	69	59	130	545	545	587	139	380	179
clcn3	140	126	65	97	30	74	821	821	118	26	84	41
clcn5	28	45	39	39	6	10	41	41	51	15	52	33
clcn7	523	415	363	356	174	211	377	377	454	145	271	161
cld12	66	114	43	54	11	17	181	181	72	21	75	27
cld5	181	331	713	131	96	322	562	562	606	114	478	118
cldn1	1575	2873	5985	1623	170	286	2117	2117	2886	993	2589	855
clh1	4209	5728	3485	3280	1354	2306	14992	14992	10760	4061	8617	3688
clic2	470	578	312	317	117	328	3690	3690	1090	399	940	426
clic4	447	408	205	236	102	240	1981	1981	1181	399	1637	432
clip1	573	870	602	565	137	243	711	711	1087	319	706	395
clip2	137	115	63	57	81	104	179	179	342	112	217	124
clip4	225	260	255	119	6	14	27	27	33	6	14	12
clk1	2242	4787	1979	2053	785	830	1942	1942	3040	625	992	456
clk2	477	885	383	427	447	364	446	446	182	42	74	46
clk3	284	374	259	173	278	378	1015	1015	314	100	180	62
clk4	1571	3601	2167	1462	658	716	1810	1810	1589	347	750	225
clm3	39	31	34	15	95	111	97	97	108	42	143	43
clm9	64	113	115	67	3	11	14	14	20	8	221	39
clmp	99	106	229	77	39	43	128	128	73	25	64	16
cln3	157	140	103	90	725	206	477	477	209	89	145	76
cln5	182	314	261	152	67	127	501	501	510	155	393	168
cln8	63	64	59	49	25	71	253	253	115	24	76	20
clnmt	35	42	42	30	12	23	51	51	150	65	86	46
clock	24	31	23	37	7	14	108	108	272	53	243	130
clp1	285	327	98	185	160	281	1021	1021	329	92	196	80
clp1l	1191	1575	1075	815	330	683	2267	2267	811	258	648	255
clpb	166	165	83	87	30	76	373	373	327	158	255	155
clpt1	615	542	385	307	314	446	988	988	916	282	588	289
clpx	733	929	904	469	177	430	2547	2547	316	111	303	98
clspn	201	190	84	169	109	281	3046	3046	384	121	79	103
clu	381	338	269	200	171	338	899	899	379	78	281	141
clybl	62	68	52	38	68	65	100	100	77	33	51	28
cmah	72	77	36	50	36	24	102	102	121	29	36	35
cmbl	31	68	36	21	40	89	206	206	186	89	133	49
cmc1	514	860	332	317	156	206	950	950	666	233	403	197
cmc4	89	187	132	62	11	19	42	42	50	20	26	12
cmip	267	188	93	128	60	100	366	366	299	62	170	100
cml1	76	35	19	41	27	42	141	141	116	33	167	70
cmpk2	1545	274	292	368	73	265	777	777	424	138	156	152
cmta2	161	131	121	78	52	63	117	117	490	121	278	148
cmtr1	555	388	298	255	142	243	613	613	409	115	226	111
CN080	84	106	55	47	67	86	155	155	59	15	42	22
CN093	76	89	30	46	25	34	62	62	128	49	74	37
cn37	2330	1997	1037	1039	528	773	1390	1390	1940	714	810	439
cnbp	6866	10560	8830	4792	1490	2651	11786	11786	8341	3137	6616	3170
cnd1	609	531	410	247	509	618	2242	2242	470	124	142	95
cnd2	319	308	327	208	94	284	2734	2734	461	139	55	85
cnd3	399	532	338	291	118	314	4136	4136	432	158	94	55
cndd3	531	578	444	374	180	472	3037	3037	965	340	357	298
cndg2	878	886	1149	586	164	398	3978	3978	833	292	217	184
cndh2	513	521	270	207	707	891	2756	2756	1092	429	645	338
cndp2	920	521	580	501	437	610	1265	1265	1034	375	816	318
cnep1	425	506	457	264	234	297	896	896	618	255	395	181
cnih	1738	2640	1964	1237	27	40	313	313	85	46	65	41
cnn3	367	836	1101	472	249	764	2712	2712	4585	1636	3387	1106
cnnm3	124	127	60	95	45	55	243	243	528	208	315	201
cnnm4	190	174	86	85	235	259	100	100	317	77	155	112
cno11	522	574	615	350	129	212	637	637	811	275	528	233
cno6l	1386	2200	1091	1212	210	385	1560	1560	1260	419	696	374
cnot1	1628	1602	1154	1332	428	551	3355	3355	3115	862	1570	1193
cnot2	437	543	465	434	313	395	1568	1568	1621	553	800	485
cnot3	241	244	116	124	181	245	590	590	298	78	136	55
cnot4	253	384	253	200	21	22	157	157	110	29	72	34
cnot6	875	1090	646	538	23	56	522	522	1321	413	711	370
cnot7	1673	3302	1931	1451	405	448	1449	1449	1438	427	939	394
cnot8	861	869	557	555	211	313	1542	1542	549	173	332	196
cnota	628	816	426	464	219	252	750	750	967	311	572	313
cnpd1	1417	1890	1536	912	901	1230	3644	3644	987	282	505	250
cnpy3	23	28	20	16	86	185	509	509	602	185	430	146
cnst	245	306	226	168	195	268	798	798	296	100	171	89
cntfr	28	50	109	29	31	126	163	163	358	33	531	106
cntln	99	166	112	107	10	19	149	149	1310	468	794	343
cntrb	156	235	111	123	160	175	335	335	418	113	181	121
co038	1159	1248	752	733	7	11	38	38	799	292	571	187
CO039	153	117	74	89	6	11	19	19	89	28	64	33
CO041	201	183	166	101	51	84	446	446	373	126	241	131
CO057	322	296	235	155	88	91	226	226	293	97	221	104
co1a1	120	100	57	55	5	26	129	129	186	83	112	24
co1a2	259	483	165	237	188	518	1698	1698	1172	454	616	190
co2	163	38	49	25	157	376	1135	1135	1788	711	1028	666
co3	5253	3485	1938	4138	2699	4152	6022	6022	8576	3521	5006	5799
co3a1	342	792	275	355	341	414	2071	2071	648	217	188	56
co4a1	116	128	188	76	154	294	1044	1044	1676	528	1343	482
co4a2	133	156	252	68	242	386	1001	1001	1048	369	934	350
co4a5	122	107	126	37	11	10	53	53	14	18	28	8
co5a1	35	70	94	18	111	128	213	213	401	123	331	133
co5a2	53	84	70	57	44	84	315	315	206	64	137	37
co6a1	121	222	170	93	115	80	172	172	494	181	420	146
co6a2	418	470	595	266	79	162	299	299	470	166	538	132
co7	96	248	300	71	224	880	5579	5579	263	62	189	35
coasy	414	437	242	231	215	199	678	678	250	87	156	74
cobl1	226	440	105	185	53	47	148	148	421	127	471	122
coda1	20	66	129	29	27	78	135	135	132	35	160	47
coe1	29	35	16	25	30	34	99	99	73	17	16	22
cof2	147	231	196	130	29	62	412	412	276	121	268	109
cog1	154	131	147	97	72	106	353	353	293	98	164	82
cog2	337	411	356	236	112	175	697	697	749	294	574	342
cog3	989	1599	1565	770	168	206	688	688	833	178	527	225
cog4	627	687	406	534	142	173	428	428	677	223	274	224
cog5	1423	2444	1249	1255	122	149	1090	1090	3506	1278	2373	1156
cog6	125	140	47	84	32	41	256	256	131	34	127	44
cog7	255	221	332	120	84	189	718	718	250	91	189	91
cog8	239	229	130	109	60	92	262	262	160	60	94	48
coha1	72	242	51	88	8	18	128	128	43	19	13	21
coia1	423	548	470	305	56	86	78	78	495	198	484	196
col12	22	38	43	16	10	38	115	115	439	190	299	152
com1	320	459	568	224	113	281	3435	3435	402	129	303	122
comda	882	1490	665	579	39	64	216	216	1445	637	978	509
comt	846	921	1157	575	391	1095	3111	3111	7424	3700	2571	3456
copa	1675	1637	961	983	441	722	3793	3793	3090	965	1962	1115
copb	2378	4410	2170	2216	295	474	3741	3741	4637	1861	3991	1446
copb2	1652	1700	1251	1095	397	740	2889	2889	2129	557	1566	760
copd	1548	2125	1625	1332	480	776	3292	3292	1330	361	1119	484
copg1	2291	3072	3018	1482	323	639	3084	3084	2119	650	1206	720
copg2	3018	4494	2394	2364	339	680	4565	4565	2116	742	1464	630
copt1	115	108	102	72	29	70	419	419	173	36	156	63
copz1	1022	944	603	518	266	424	1489	1489	2084	964	1503	813
coq3	103	170	137	72	42	61	287	287	275	97	236	102
coq6	129	238	129	104	42	41	118	118	144	46	114	38
cor1a	7372	6791	2599	3575	1810	2748	4174	4174	7812	2679	4328	1971
cor1b	950	772	400	569	316	643	1190	1190	5008	1818	3447	1309
cor1c	1406	1586	1145	1136	61	104	581	581	1038	345	781	380
coro7	467	559	312	301	422	382	471	471	521	161	274	140
cot2	758	1457	1419	593	311	546	1083	1083	1298	600	1012	481
cotl1	2725	1819	564	1009	483	1137	1789	1789	2727	828	1644	938
cox1	177573	353109	278536	171705	220888	103505	630521	630521	516867	238363	330892	173685
cox15	121	103	36	64	33	81	247	247	136	39	93	61
cox20	36	63	41	49	289	511	1250	1250	320	56	156	78
cox3	39082	66773	80046	34043	145591	64030	422420	422420	137442	77866	78211	47213
cp054	336	317	60	203	72	99	228	228	119	39	65	38
cp058	604	688	367	336	131	223	715	715	168	63	135	68
CP059	61	83	38	29	34	45	245	245	134	51	87	32
cp062	183	189	152	119	121	198	502	502	359	116	229	151
cp072	214	255	223	185	134	248	1121	1121	1275	438	686	419
cp087	259	367	197	204	39	56	207	207	251	71	168	51
cp110	43	51	24	41	27	36	480	480	103	20	75	26
cp135	192	328	263	181	62	110	749	749	276	96	128	68
cp1b1	358	323	442	262	9	13	68	68	184	54	248	131
cp20a	142	318	135	128	67	49	288	288	360	107	267	128
cp242	137	267	160	121	20	70	170	170	157	12	55	24
cp250	483	514	339	290	267	373	1537	1537	496	148	245	158
cp27a	59	53	101	33	170	276	709	709	2080	1077	1153	838
cp2f2	52	164	102	57	37	123	168	168	115	9	27	22
cp2j2	99	279	154	147	19	17	16	16	178	53	115	47
cp4b1	51	159	143	58	313	483	453	453	174	29	179	76
cp4v2	248	201	189	219	20	23	74	74	303	82	348	95
cp51a	1725	2943	714	1410	224	488	1375	1375	2883	883	2117	968
cpeb2	121	218	238	115	27	21	98	98	277	89	233	78
cped1	78	121	225	78	39	97	379	379	960	215	945	302
cpne1	418	488	443	292	279	401	1050	1050	729	247	466	185
cpne2	74	71	81	34	86	228	941	941	345	117	241	119
cpne3	336	326	138	352	27	22	200	200	81	28	70	37
cpne8	53	53	74	13	172	200	422	422	467	160	309	174
cpped	68	57	47	38	33	72	287	287	125	36	87	33
cpsf1	667	578	552	335	364	533	1583	1583	746	201	500	258
cpsf2	1064	1886	1010	892	297	577	3682	3682	438	121	312	160
cpsf3	471	530	279	337	156	309	1526	1526	1616	578	871	511
cpsf4	60	33	32	18	13	18	66	66	124	38	68	26
cpsf6	572	670	534	358	73	121	564	564	347	96	197	90
cpsf7	140	129	83	90	157	235	603	603	145	49	82	55
cpt1a	319	538	392	116	261	758	1621	1621	295	70	318	110
cpt2	105	171	113	69	33	59	260	260	88	23	47	34
cpzip	1574	2217	1272	893	388	512	925	925	234	72	162	85
cq058	80	171	109	96	58	84	161	161	166	59	130	58
CQ062	1090	1322	503	599	13	20	45	45	107	27	91	30
CQ080	101	110	48	81	68	123	465	465	249	75	171	75
CQ085	598	697	487	448	83	159	660	660	419	95	266	138
cq10a	54	127	118	64	69	72	145	145	185	38	66	42
cq10b	400	607	338	295	56	129	1023	1023	614	222	483	170
CR025	76	100	43	49	127	206	960	960	650	202	404	192
cr1l	293	450	368	278	234	395	1943	1943	711	133	534	241
cr2	3563	5396	2293	2474	3329	4377	5037	5037	2837	510	776	608
cr3l2	115	143	40	77	13	31	142	142	82	12	121	75
crbg3	78	117	81	81	19	26	71	71	494	164	384	200
crbn	621	937	406	514	193	373	1027	1027	537	162	360	216
crcm	13	35	17	13	200	326	753	753	65	24	43	13
creb1	105	158	94	96	20	33	217	217	158	48	95	50
crel1	42	43	21	28	77	100	128	128	228	84	205	70
crem	269	417	249	230	44	69	310	310	183	87	103	56
crerf	125	131	69	98	13	13	61	61	205	40	119	72
crim1	266	269	300	150	50	61	159	159	266	67	234	104
crk	845	1550	1023	760	225	356	1264	1264	552	173	606	199
crkl	147	143	54	122	53	70	515	515	189	46	137	78
crld2	131	188	99	131	10	29	105	105	73	11	60	46
crlf3	187	227	70	156	70	118	1062	1062	876	236	378	244
crml	258	387	347	188	72	149	496	496	132	28	69	49
crnl1	532	735	302	458	234	425	1816	1816	1872	743	1217	561
crocc	44	48	43	22	94	119	319	319	79	18	37	11
crtap	164	152	167	108	105	331	665	665	387	187	283	115
crtc2	323	423	371	203	150	172	192	192	462	121	219	94
cry1	446	617	575	389	65	147	480	480	608	165	323	149
cry2	73	108	43	49	18	32	69	69	39	17	38	20
CS052	152	139	119	108	83	115	410	410	441	146	268	121
cs054	54	84	39	51	47	39	58	58	117	26	39	44
CS068	52	60	13	31	46	91	231	231	122	35	56	22
csad	95	148	147	87	73	85	181	181	128	59	76	32
csde1	6043	6813	5983	4674	1361	2225	13339	13339	7012	2800	3874	2391
csf1	84	112	112	74	121	306	781	781	133	21	199	48
csf1r	795	421	426	690	384	757	2195	2195	3938	1519	3569	1956
csf3r	254	120	136	110	76	175	610	610	898	204	732	749
csk	4095	3825	1609	1726	600	860	1112	1112	1878	540	1070	451
csk21	365	406	193	342	248	478	2191	2191	1987	702	1302	665
csk22	317	335	352	175	31	72	283	283	79	30	38	28
cski2	54	101	115	44	167	229	383	383	555	159	404	158
cskp	81	122	93	68	35	36	150	150	117	49	97	35
csn1	507	497	373	260	415	490	1460	1460	454	148	290	124
csn2	1565	2552	1296	1296	278	502	3352	3352	2747	1110	2325	763
csn3	594	965	569	555	201	320	2261	2261	966	405	649	340
csn4	1273	2190	1012	986	156	222	1462	1462	956	368	724	312
csn7b	162	181	94	89	62	83	155	155	91	28	74	37
csn8	293	311	216	161	58	125	312	312	496	192	302	207
cspp1	49	88	51	66	15	25	178	178	173	54	114	57
csr2b	578	838	581	447	120	176	465	465	199	51	137	94
csrn2	253	327	161	181	45	53	92	92	104	44	76	33
csrp1	3363	4414	6398	2124	611	940	1495	1495	4076	1649	4160	1824
cstf1	191	205	198	129	71	112	672	672	340	97	181	124
cstf2	1061	1805	777	823	369	472	1239	1239	681	198	549	238
cstf3	507	548	399	347	73	126	494	494	480	162	296	175
cstn1	320	284	176	167	30	149	487	487	617	165	397	169
cstn3	81	68	46	30	92	71	37	37	34	21	36	21
ct2nl	86	54	49	63	24	29	136	136	154	57	204	101
ctbl1	389	395	205	180	97	213	819	819	563	152	333	161
ctbp1	709	753	525	357	343	826	3326	3326	911	297	663	284
ctbp2	56	64	104	61	44	108	428	428	712	245	641	275
ctc1	232	349	234	184	29	29	49	49	108	25	76	39
ctcf	1052	1188	719	756	301	591	3683	3683	1399	448	759	419
ctdp1	518	473	500	261	94	202	864	864	470	121	240	167
ctds1	924	1243	785	648	171	300	945	945	893	296	578	233
ctds2	1050	1171	1051	784	284	459	1187	1187	1825	445	1248	658
ctf18	41	38	16	18	46	69	281	281	59	20	12	13
ctf8a	848	949	516	565	268	480	1465	1465	1132	366	736	365
ctge5	559	778	513	369	126	205	736	736	449	190	391	194
ctgf	228	879	427	192	196	474	737	737	791	147	277	100
ctif	17	22	13	16	9	11	34	34	16	4	30	22
ctl1	109	131	74	113	21	34	125	125	362	80	285	110
ctl2	1277	1170	730	742	652	980	2738	2738	1509	524	942	481
ctna1	992	1025	1218	793	290	570	2188	2188	1512	555	1246	523
ctnb1	1484	1981	947	1131	507	1112	2254	2254	3135	1040	2419	775
ctnd1	207	187	150	138	198	335	992	992	667	228	588	260
ctnl1	71	98	86	55	156	161	607	607	5274	1638	3638	1268
ctns	30	31	22	27	120	202	406	406	57	19	42	19
ctr1	78	86	37	57	91	216	1036	1036	154	28	87	50
ctr2	41	16134	189	62	2	20	436	436	30	2	53	14
ctr9	1180	1739	918	924	131	263	1393	1393	868	250	553	289
ctsl2	1301	1860	1126	1202	142	239	1592	1592	1828	569	1228	521
ctu2	296	279	141	133	68	125	292	292	147	41	112	34
cu002	50	51	38	21	61	89	148	148	209	72	160	76
cued2	350	475	418	257	127	170	644	644	577	188	327	156
cul1	824	1012	649	666	255	418	1257	1257	1269	404	911	481
cul2	396	504	289	280	79	166	1035	1035	489	219	393	167
cul3	1088	1407	1117	674	397	681	3895	3895	2394	762	1618	731
cul4a	927	1216	1525	574	343	666	3277	3277	1230	333	825	477
cul4b	322	432	174	211	141	207	1732	1732	500	150	330	175
cul5	701	1243	578	729	56	132	663	663	1283	346	962	407
cul7	211	243	126	124	235	205	327	327	194	70	92	68
cul9	200	230	122	109	275	296	478	478	216	45	107	69
cutc	310	539	427	194	118	110	317	317	197	53	135	68
cwc22	707	948	691	478	197	274	1731	1731	1200	390	986	380
cwc25	307	298	163	169	62	60	211	211	242	47	150	91
cwc27	440	651	382	381	78	101	522	522	745	271	426	209
CX021	862	950	275	543	82	94	330	330	2138	779	1549	739
cx056	191	265	169	174	42	54	327	327	775	229	414	215
cxa1	75	129	219	52	44	115	519	519	526	134	510	121
cxcr1	62	21	17	25	54	106	334	334	199	54	197	216
cxcr3	257	118	14	85	20	54	72	72	138	55	65	47
cxcr4	1675	4701	1244	1349	344	675	2151	2151	2852	1156	1171	748
cxcr5	324	458	139	165	84	126	169	169	435	102	101	89
cxcr7	81	108	67	69	13	31	56	56	159	56	139	63
cxl13	1187	1983	1396	1022	408	332	717	717	2161	789	683	609
cxl16	181	77	114	79	99	173	296	296	471	221	416	279
cxxc1	445	570	248	320	367	335	698	698	452	126	200	122
cxxc5	569	588	386	260	18	38	126	126	147	28	118	40
cy24b	7439	5899	5077	5128	619	1208	4001	4001	10549	5180	9409	5939
cyac3	288	193	40	151	39	97	226	226	514	188	349	267
cybr1	76	87	69	112	44	114	491	491	1203	323	718	373
cyfp1	1160	981	729	743	350	560	1269	1269	2014	639	1386	738
cyfp2	853	789	612	329	405	344	489	489	349	76	120	98
cyh1	543	536	273	300	145	224	270	270	869	268	393	225
cyh4	483	440	218	292	228	263	336	336	962	174	755	357
cyhr1	165	170	98	94	139	192	447	447	291	80	132	81
cyld	1748	2553	1296	1312	197	336	819	819	2749	954	1465	834
cytip	2130	2454	1707	1928	336	529	1857	1857	2363	702	1076	526
cytsa	477	520	256	305	92	162	583	583	650	180	623	244
cytsb	103	73	52	56	84	149	2090	2090	112	28	124	47
d19l1	129	94	44	80	119	225	861	861	1156	372	795	450
d19l3	64	78	49	45	6	15	82	82	105	30	92	40
d19l4	90	97	42	47	44	41	257	257	92	31	100	37
d2hdh	279	369	228	175	137	185	444	444	192	76	108	46
d39u1	183	228	129	99	468	378	509	509	702	187	409	220
daam1	114	99	46	79	42	87	779	779	630	170	345	200
daam2	38	55	99	19	20	26	57	57	228	47	207	92
dab2	85	133	167	103	196	284	874	874	1577	557	1239	577
dab2p	152	190	218	110	21	39	519	519	611	170	607	253
dag1	32	36	22	24	130	351	963	963	112	13	70	23
dapk1	50	45	39	100	117	203	453	453	285	86	242	144
dapk2	52	38	24	14	28	51	90	90	512	193	358	196
daple	457	655	326	329	755	665	1771	1771	411	101	222	163
dapp1	291	263	230	228	69	77	188	188	147	47	65	48
daxx	1268	506	441	379	154	231	630	630	487	134	231	142
dazp1	23412	42643	28617	20607	639	705	2381	2381	929	261	598	248
dazp2	3649	4624	5222	1950	553	974	3693	3693	4760	1502	2806	1775
dbf4a	609	963	750	511	117	197	1568	1568	322	91	165	69
dbloh	361	403	303	228	120	255	1004	1004	487	235	355	172
dbnd1	63	67	57	29	9	12	32	32	77	14	34	29
dbnl	1209	1253	895	871	479	647	1461	1461	2119	620	1230	620
dbr1	394	419	617	236	92	228	945	945	398	158	227	138
dc1i2	928	1373	725	696	217	328	2155	2155	771	281	501	273
dc1l2	165	203	90	150	36	37	333	333	293	73	238	78
dca11	846	1132	805	618	426	525	1302	1302	821	268	544	264
dca12	329	319	272	204	80	178	1471	1471	259	57	247	72
dca13	790	1219	878	579	123	198	1395	1395	1408	571	1204	540
dca15	106	87	61	43	255	236	405	405	161	44	90	49
dca16	79	65	94	64	54	95	340	340	122	49	105	57
dca17	144	199	95	103	67	107	635	635	150	54	140	64
dcaf4	149	187	78	94	50	71	217	217	274	83	220	105
dcaf5	565	597	345	312	488	534	1239	1239	578	164	403	226
dcaf6	289	619	421	219	113	121	387	387	928	268	557	246
dcaf7	1238	1318	809	842	259	442	1424	1424	869	222	573	357
dcaf8	769	1046	494	485	256	420	1602	1602	614	184	390	187
dcakd	32	30	16	35	49	71	277	277	112	38	100	59
dcam	1442	2100	1379	1438	352	546	4721	4721	1305	470	774	415
dcbd1	40	38	51	22	41	80	120	120	28	11	29	18
dcbd2	44	88	51	58	14	33	232	232	44	7	38	17
dcc1	240	210	101	110	109	205	1338	1338	279	94	108	58
dck	202	143	69	82	82	175	3109	3109	114	36	27	25
