	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
adas	1144	1489	1167	886	180	329	2289	2289	576	241	436	177
adat1	67	116	42	66	10	19	88	88	71	20	58	22
adcal	28	40	19	9	19	15	30	30	44	10	18	5
adck1	98	86	42	41	27	40	85	85	102	34	109	51
adck2	397	500	429	251	74	151	360	360	164	73	97	41
adck3	98	213	98	62	158	218	268	268	239	88	114	92
adck4	206	232	85	124	69	88	162	162	130	60	96	48
adck5	163	197	128	82	49	55	152	152	317	84	236	80
adcy4	10	43	64	15	209	104	142	142	71	20	74	25
adcy7	1108	980	658	733	162	169	370	370	775	152	424	292
adcy9	96	100	56	55	22	38	128	128	44	2	44	24
adda	802	628	292	397	499	673	2453	2453	1112	288	716	314
addg	3153	7140	2667	3082	364	432	1723	1723	4156	1461	2480	928
adhx	934	1588	784	917	338	502	1775	1775	1264	501	746	399
adip	159	357	198	182	225	290	2318	2318	431	176	179	123
adipo	5	295	15	19	20	25	79	79	293	29	44	14
adk	941	1516	513	787	208	359	1521	1521	2399	919	1699	601
adnp	980	950	815	572	266	433	1385	1385	1250	412	645	363
adnp2	573	756	634	389	84	120	427	427	354	106	210	112
ado	133	269	110	63	31	26	81	81	431	61	355	70
adpgk	529	551	363	291	226	403	668	668	299	111	305	164
adprh	101	107	64	51	65	73	266	266	433	137	257	177
adprm	260	649	291	186	90	80	220	220	83	28	44	42
adr1	916	923	662	582	478	1488	10248	10248	1921	596	1993	572
adrb2	162	159	23	122	52	137	299	299	498	127	292	179
adro	58	76	38	36	68	57	113	113	75	31	59	30
adx	416	500	343	276	149	294	968	968	383	151	316	155
aebp1	139	245	276	143	152	179	272	272	441	129	269	124
aebp2	368	348	286	244	45	46	123	123	362	102	199	125
aedo	507	604	313	270	7	24	50	50	438	145	255	146
aen	94	118	39	72	35	60	161	161	132	38	98	41
aes	319	467	285	144	501	788	1225	1225	925	368	690	242
af10	193	205	158	124	80	142	493	493	455	124	274	149
af17	761	813	358	559	217	260	535	535	359	81	216	118
af1l1	289	345	360	257	35	26	57	57	136	34	91	23
af1l2	340	455	804	205	155	238	650	650	127	46	137	57
afad	284	575	450	192	136	159	366	366	486	114	286	151
afap1	85	117	57	83	64	105	235	235	78	26	57	30
aff1	1133	1874	2623	989	284	535	2322	2322	652	179	459	265
aff3	625	1139	386	570	35	48	173	173	127	38	53	41
aff4	676	1114	756	513	72	81	616	616	226	53	198	95
afg31	220	259	149	125	270	437	2005	2005	849	241	629	308
afg32	367	425	375	238	145	328	862	862	563	192	413	205
aftin	1189	1637	1199	805	299	412	1620	1620	1696	612	1151	711
agal	279	336	241	205	31	72	381	381	392	158	302	144
agap1	39	39	71	23	53	136	647	647	221	60	253	109
agap2	323	267	66	152	90	119	214	214	314	74	118	96
agfg1	1746	2267	2141	1239	558	1368	8759	8759	795	264	470	191
agfg2	52	43	15	23	11	18	95	95	85	20	70	21
agk	206	175	94	113	43	59	133	133	110	32	65	31
agm1	77	62	68	49	25	51	160	160	331	103	179	110
ago1	445	537	284	334	161	254	612	612	178	34	143	71
ago2	89	90	67	60	154	373	3450	3450	223	52	122	69
ago4	122	233	115	162	48	63	256	256	79	21	72	32
agrin	185	150	80	95	79	198	446	446	319	53	176	77
agtr1	125	158	751	62	16	35	58	58	58	20	67	54
ahdc1	277	377	135	199	41	55	156	156	129	39	90	59
ahi1	250	495	443	228	68	92	443	443	188	45	176	73
